"Name","Loyalty to political group","Loyalty to national party","Participation in roll-call votes","","",""
"BACH","94.50","97.15","96.74","446","584","27"
"BERÈS","94.51","98.06","82.11","444","446","528"
"FERBER","94.51","97.76","90.29","444","502","255"
"FIDANZA","94.53","98.77","88.84","442","302","310"
"KAZAK","94.53","98.82","93.43","442","286","132"
"CARVALHO","94.57","97.58","93.68","441","536","121"
"THUN UND HOHENSTEIN","94.58","97.03","82.14","440","595","526"
"ANDRIEU","94.59","99.31","78.19","437","188","606"
"MUÑIZ DE URQUIZA","94.59","98.92","89.47","437","264","287"
"ČEŠKOVÁ","94.59","97.39","78.49","437","555","596"
"BŘEZINA","94.61","100.00","90.69","436","1","234"
"CERCAS","94.63","97.16","91.15","435","582","214"
"ESTARÀS FERRAGUT","94.64","97.41","89.74","434","551","273"
"CAPOULAS SANTOS","94.65","95.57","89.71","433","691","274"
"DEVA","94.67","95.36","74.67","431","698","646"
"FEIO","94.67","100.00","91.12","431","1","216"
"DEUTSCH","94.68","98.24","69.40","430","406","683"
"GUILLAUME","94.69","99.59","92.04","429","167","182"
"DATI","94.72","97.43","85.52","428","548","437"
"RIERA MADURELL","94.74","98.09","88.77","427","437","313"
"SIEKIERSKI","94.75","96.86","87.06","425","627","383"
"TORVALDS","94.75","100.00","88.71","425","1","316"
"MULDER","94.76","96.93","93.55","424","618","125"
"AUCONIE","94.77","99.30","88.95","422","191","307"
"PANAYOTOV","94.77","98.70","94.66","422","320","76"
"LEINEN","94.78","97.03","89.11","420","595","302"
"VERGNAUD","94.78","99.24","94.97","420","202","68"
"GERINGER de OEDENBERG","94.80","98.02","98.05","419","452","10"
"HOANG NGOC","94.82","98.39","90.40","416","376","251"
"LIBERADZKI","94.82","97.99","87.16","416","462","375"
"METSOLA","94.82","100.00","96.17","416","1","35"
"TOMAŠIĆ","94.83","100.00","80.51","415","1","558"
"BULLMANN","94.84","97.93","84.07","412","470","472"
"CASTILLO VERA","94.84","97.30","78.26","412","563","605"
"SURJÁN","94.84","98.11","90.42","412","432","249"
"RODUST","94.87","97.89","95.22","411","477","60"
"ERTUG","94.88","96.73","88.08","408","638","339"
"KÓSA","94.88","98.58","83.31","408","342","493"
"LYUBCHEVA","94.88","97.79","95.89","408","496","41"
"LANGE","94.89","97.68","90.46","407","517","244"
"AYALA SENDER","94.91","98.66","83.52","406","326","484"
"ANTINORO","94.92","96.92","58.28","405","621","740"
"LIESE","94.93","95.93","84.51","403","681","461"
"TIROLIEN","94.93","97.49","81.31","403","543","542"
"GARCÍA PÉREZ","94.95","99.23","91.90","402","204","192"
"GLATTFELDER","94.97","98.23","93.46","400","409","129"
"ZALESKI","94.97","99.46","98.46","400","173","6"
"PARGNEAUX","94.98","98.89","89.04","398","271","304"
"RONZULLI","94.98","96.54","83.49","398","645","488"
"CORTÉS LASTRA","95.02","98.62","79.95","395","332","574"
"GEBHARDT","95.02","98.00","93.45","395","457","131"
"ZIMMER","95.02","97.15","86.80","395","584","391"
"STEINRUCK","95.03","97.86","93.88","394","482","109"
"BADIA i CUTCHET","95.04","100.00","88.65","393","1","317"
"TŐKÉS","95.05","0.00","79.59","392","754","581"
"PATRÃO NEVES","95.06","97.36","86.38","390","557","402"
"SOMMER","95.06","96.39","93.32","390","658","137"
"KAMALL","95.08","96.87","69.33","389","625","684"
"GARCÉS RAMÓN","95.09","98.67","83.29","385","325","494"
"GLANTE","95.09","97.07","86.83","385","592","388"
"SÁNCHEZ PRESEDO","95.09","99.46","92.75","385","173","159"
"TEIXEIRA","95.09","100.00","92.76","385","1","157"
"LULLING","95.10","97.56","94.47","384","537","84"
"NIEBLER","95.11","98.22","88.48","382","414","326"
"WORTMANN-KOOL","95.11","97.71","84.87","382","511","455"
"ANDRÉS BAREA","95.13","97.83","93.29","380","488","138"
"YÁÑEZ-BARNUEVO GARCÍA","95.13","98.11","86.45","380","432","397"
"MENÉNDEZ del VALLE","95.14","99.30","88.45","379","191","327"
"GYÜRK","95.15","98.91","69.98","378","266","677"
"GARDIAZÁBAL RUBIAL","95.16","99.27","86.98","376","196","386"
"TARAND","95.16","68.57","85.75","376","752","430"
"THEOCHAROUS","95.17","100.00","72.00","375","1","665"
"GALLO","95.19","100.00","88.38","374","1","330"
"BRATKOWSKI","95.20","99.37","97.35","372","183","16"
"OLEJNICZAK","95.20","97.01","87.04","372","598","384"
"HALL","95.23","98.39","92.04","369","376","182"
"MELO","95.23","100.00","78.02","369","1","610"
"PERELLÓ RODRÍGUEZ","95.23","98.25","83.81","369","403","479"
