Name,Party,Country,Loyalty to political group,Loyalty to national party,Participation in roll-call votes,,,
URUTCHEV Vladimir,EPP,Bulgaria,96.93,98.69,92.07
DANTIN Michel,EPP,France,95.77,98.68,88.02
GARCÉS RAMÓN Vicente Miguel,S&D,Spain,95.09,98.67,83.29
AYALA SENDER Inés,S&D,Spain,94.91,98.66,83.52
FOX Ashley,ECR,United Kingdom,96.86,98.65,92.62
STIHLER Catherine,S&D,United Kingdom,89.31,98.65,86.41
KADENBACH Karin,S&D,Austria,92.59,98.65,94.66
ALBRECHT Jan Philipp,Greens/EFA,Germany,98.57,98.65,89.38
FOSTER Jacqueline,ECR,United Kingdom,96.47,98.65,86.12
BERRA Nora,EPP,France,96.01,98.62,73.84
CORTÉS LASTRA Ricardo,S&D,Spain,95.02,98.62,79.95
PAPANIKOLAOU Georgios,EPP,Greece,93.23,98.62,82.57
ŐRY Csaba,EPP,Hungary,95.46,98.61,94.30
TREMATERRA Gino,EPP,Italy,97.48,98.61,38.05
ŠUICA Dubravka,EPP,Croatia,97.64,98.61,92.75
BRZOBOHATÁ Zuzana,S&D,Czech Republic,98.44,98.59,93.85
HANKISS Ágnes,EPP,Hungary,95.34,98.59,67.50
GÁL Kinga,EPP,Hungary,95.52,98.59,92.67
ZEMKE Janusz Władysław,S&D,Poland,95.27,98.59,97.49
KÓSA Ádám,EPP,Hungary,94.88,98.58,83.31
SCHÖPFLIN György,EPP,Hungary,95.26,98.57,94.54
MARTÍNEZ MARTÍNEZ Miguel Angel,S&D,Spain,95.27,98.57,89.54
BARTOLOZZI Paolo,EPP,Italy,97.52,98.56,73.68
NILSSON Jens,S&D,Sweden,83.65,98.55,81.46
NISTELROOIJ Lambert van,EPP,Netherlands,92.94,98.55,80.58
HYUSMENOVA Filiz Hakaeva,ALDE/ADLE,Bulgaria,97.08,98.53,91.15
McCLARKIN Emma,ECR,United Kingdom,97.17,98.52,87.62
GROOTE Matthias,S&D,Germany,95.75,98.52,90.49
FISAS AYXELA Santiago,EPP,Spain,96.03,98.51,82.85
CADEC Alain,EPP,France,95.96,98.51,92.54
SMOLKOVÁ Monika,S&D,Slovakia,97.31,98.51,87.09
BOULLAND Philippe,EPP,France,95.86,98.51,88.65
BECKER Heinz K.,EPP,Austria,93.61,98.50,93.95
LE GRIP Constance,EPP,France,96.05,98.49,92.61
GROSSETÊTE Françoise,EPP,France,95.69,98.48,95.59
SIPPEL Birgit,S&D,Germany,95.89,98.47,87.39
MATO ADROVER Gabriel,EPP,Spain,95.79,98.47,90.43
KALNIETE Sandra,EPP,Latvia,96.12,98.47,88.75
BENARAB-ATTOU Malika,Greens/EFA,France,97.81,98.46,87.79
DE ANGELIS Francesco,S&D,Italy,97.41,98.45,80.02
BORSELLINO Rita,S&D,Italy,97.73,98.45,67.03
HERRANZ GARCÍA Esther,EPP,Spain,95.78,98.45,78.60
ASHWORTH Richard,ECR,United Kingdom,96.79,98.45,90.68
FRANCO Gaston,EPP,France,95.76,98.44,66.44
FONTANA Lorenzo,EFD,Italy,84.17,98.44,95.49
JAZŁOWIECKA Danuta,EPP,Poland,95.74,98.43,86.32
GÖNCZ Kinga,S&D,Hungary,97.64,98.43,94.43
BORYS Piotr,EPP,Poland,95.55,98.42,89.35
PODIMATA Anni,S&D,Greece,96.00,98.41,79.67
VAN ORDEN Geoffrey,ECR,United Kingdom,96.69,98.41,82.19
GUALTIERI Roberto,S&D,Italy,97.64,98.41,92.34
MAYOR OREJA Jaime,EPP,Spain,96.31,98.41,76.61
LE BRUN Agnès,EPP,France,96.12,98.40,67.04
HOANG NGOC Liem,S&D,France,94.82,98.39,90.40
SZÁJER József,EPP,Hungary,98.98,98.39,92.98
LANGE Esther de,EPP,Netherlands,91.86,98.39,76.99
HALL Fiona,ALDE/ADLE,United Kingdom,95.23,98.39,92.04
KOVÁCS Béla,NI,Hungary,0.00,98.38,64.26
VAIDERE Inese,EPP,Latvia,95.59,98.38,85.07
CUSCHIERI Joseph,S&D,Malta,93.30,98.38,89.32
ATKINS Sir Robert,ECR,United Kingdom,96.69,98.38,64.82
